MASSIVETHREAD breakdown Threads: 1, Total: 22.126526, Create: 22.126510, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.004605, Create: 22.004587, Yield: 0.000017, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.194895, Create: 22.194878, Yield: 0.000016, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.040764, Create: 22.040747, Yield: 0.000016, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.937197, Create: 21.937177, Yield: 0.000019, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.967439, Create: 21.967424, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.930647, Create: 21.930631, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.953183, Create: 21.953167, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.943091, Create: 21.943076, Yield: 0.000015, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.936725, Create: 21.936709, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.933061, Create: 21.933046, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.930102, Create: 21.930088, Yield: 0.000013, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.936008, Create: 21.935993, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.938373, Create: 21.938355, Yield: 0.000017, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.927763, Create: 21.927751, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.929436, Create: 21.929424, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.056347, Create: 22.056335, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.938354, Create: 21.938340, Yield: 0.000013, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.936371, Create: 21.936356, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.938619, Create: 21.938607, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.004057, Create: 22.004033, Yield: 0.000023, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.942962, Create: 21.942950, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.969613, Create: 21.969600, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.927781, Create: 21.927768, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.952076, Create: 21.952063, Yield: 0.000011, Join: 0.000002
MASSIVETHREAD breakdown Threads: 1, Total: 21.930259, Create: 21.930246, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.927989, Create: 21.927976, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.935706, Create: 21.935692, Yield: 0.000013, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.931858, Create: 21.931845, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.988107, Create: 21.988094, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.951919, Create: 21.951904, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.963689, Create: 21.963674, Yield: 0.000014, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.928549, Create: 21.928534, Yield: 0.000013, Join: 0.000002
MASSIVETHREAD breakdown Threads: 1, Total: 21.932936, Create: 21.932921, Yield: 0.000014, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.098880, Create: 22.098864, Yield: 0.000015, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.046287, Create: 22.046281, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.954225, Create: 21.954219, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.042454, Create: 22.042442, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.057616, Create: 22.057604, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 21.939983, Create: 21.939968, Yield: 0.000015, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.078745, Create: 22.078739, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.985118, Create: 21.985106, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.980573, Create: 21.980561, Yield: 0.000011, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.034119, Create: 22.034114, Yield: 0.000005, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.007725, Create: 22.007713, Yield: 0.000012, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.933880, Create: 21.933873, Yield: 0.000007, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 22.034656, Create: 22.034645, Yield: 0.000011, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.943887, Create: 21.943874, Yield: 0.000012, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.068012, Create: 22.067998, Yield: 0.000014, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.950861, Create: 21.950854, Yield: 0.000006, Join: 0.000001
MASSIVETHREAD breakdown Threads: 1, Total: 22.029478, Create: 22.029472, Yield: 0.000006, Join: 0.000000
MASSIVETHREAD breakdown Threads: 1, Total: 21.927512, Create: 21.927505, Yield: 0.000007, Join: 0.000000
