ARGOBOTS breakdown Threads: 1, Total: 21.902768, Create: 0.000000, Yield: 21.902762, Join: 0.000006
ARGOBOTS breakdown Threads: 1, Total: 21.894818, Create: 0.000000, Yield: 21.894811, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.872724, Create: 0.000001, Yield: 21.872716, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.857871, Create: 0.000000, Yield: 21.857864, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.847031, Create: 0.000000, Yield: 21.847023, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.909857, Create: 0.000000, Yield: 21.909850, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.870609, Create: 0.000000, Yield: 21.870602, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.952807, Create: 0.000000, Yield: 21.952798, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.919421, Create: 0.000001, Yield: 21.919412, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.979666, Create: 0.000000, Yield: 21.979658, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.892059, Create: 0.000001, Yield: 21.892050, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.934536, Create: 0.000001, Yield: 21.934525, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.847216, Create: 0.000001, Yield: 21.847208, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.962740, Create: 0.000000, Yield: 21.962732, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 22.035746, Create: 0.000001, Yield: 22.035741, Join: 0.000004
ARGOBOTS breakdown Threads: 1, Total: 21.946679, Create: 0.000001, Yield: 21.946671, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.863012, Create: 0.000000, Yield: 21.862999, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.968421, Create: 0.000000, Yield: 21.968413, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.897540, Create: 0.000001, Yield: 21.897531, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.866284, Create: 0.000001, Yield: 21.866275, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.857360, Create: 0.000001, Yield: 21.857352, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.925862, Create: 0.000000, Yield: 21.925855, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.849441, Create: 0.000000, Yield: 21.849434, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.848729, Create: 0.000000, Yield: 21.848722, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.850907, Create: 0.000001, Yield: 21.850899, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.899620, Create: 0.000000, Yield: 21.899612, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.847870, Create: 0.000001, Yield: 21.847862, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.857448, Create: 0.000001, Yield: 21.857435, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.868674, Create: 0.000001, Yield: 21.868666, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.854249, Create: 0.000001, Yield: 21.854239, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.986361, Create: 0.000001, Yield: 21.986351, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.866256, Create: 0.000001, Yield: 21.866252, Join: 0.000003
ARGOBOTS breakdown Threads: 1, Total: 21.850055, Create: 0.000001, Yield: 21.850047, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.859214, Create: 0.000001, Yield: 21.859205, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.883231, Create: 0.000001, Yield: 21.883220, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 22.015037, Create: 0.000001, Yield: 22.015029, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.945918, Create: 0.000001, Yield: 21.945909, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.924654, Create: 0.000001, Yield: 21.924637, Join: 0.000016
ARGOBOTS breakdown Threads: 1, Total: 21.985563, Create: 0.000001, Yield: 21.985551, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.918350, Create: 0.000001, Yield: 21.918341, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.849372, Create: 0.000000, Yield: 21.849365, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.855625, Create: 0.000001, Yield: 21.855617, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.842837, Create: 0.000000, Yield: 21.842827, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.854432, Create: 0.000000, Yield: 21.854424, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.902535, Create: 0.000001, Yield: 21.902524, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.847075, Create: 0.000001, Yield: 21.847067, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.854724, Create: 0.000000, Yield: 21.854716, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.956222, Create: 0.000001, Yield: 21.956213, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.846129, Create: 0.000001, Yield: 21.846120, Join: 0.000008
