ARGOBOTS breakdown Threads: 1, Total: 21.848504, Create: 0.000002, Yield: 21.848494, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.914822, Create: 0.000002, Yield: 21.914810, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.847871, Create: 0.000001, Yield: 21.847862, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.844953, Create: 0.000002, Yield: 21.844942, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.856681, Create: 0.000003, Yield: 21.856670, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.842339, Create: 0.000002, Yield: 21.842329, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.845615, Create: 0.000000, Yield: 21.845606, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.848606, Create: 0.000001, Yield: 21.848597, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.895270, Create: 0.000003, Yield: 21.895260, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.885863, Create: 0.000002, Yield: 21.885848, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.845216, Create: 0.000002, Yield: 21.845202, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.841944, Create: 0.000002, Yield: 21.841933, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.852567, Create: 0.000003, Yield: 21.852552, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.937316, Create: 0.000002, Yield: 21.937301, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.892779, Create: 0.000002, Yield: 21.892768, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.850683, Create: 0.000001, Yield: 21.850674, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.882118, Create: 0.000001, Yield: 21.882110, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.904688, Create: 0.000004, Yield: 21.904671, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.864778, Create: 0.000002, Yield: 21.864768, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.855686, Create: 0.000002, Yield: 21.855677, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.945391, Create: 0.000002, Yield: 21.945379, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.853936, Create: 0.000003, Yield: 21.853925, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.846385, Create: 0.000002, Yield: 21.846376, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.846609, Create: 0.000002, Yield: 21.846596, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.844125, Create: 0.000002, Yield: 21.844115, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.913269, Create: 0.000002, Yield: 21.913256, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.880012, Create: 0.000002, Yield: 21.880002, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.842667, Create: 0.000002, Yield: 21.842657, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.841282, Create: 0.000002, Yield: 21.841272, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.847552, Create: 0.000002, Yield: 21.847542, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.865840, Create: 0.000002, Yield: 21.865829, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.840377, Create: 0.000002, Yield: 21.840367, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.847774, Create: 0.000001, Yield: 21.847766, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.850864, Create: 0.000002, Yield: 21.850851, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.990662, Create: 0.000002, Yield: 21.990652, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.868372, Create: 0.000002, Yield: 21.868360, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.853732, Create: 0.000003, Yield: 21.853721, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 22.049803, Create: 0.000003, Yield: 22.049787, Join: 0.000013
ARGOBOTS breakdown Threads: 1, Total: 21.843366, Create: 0.000002, Yield: 21.843356, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.841268, Create: 0.000002, Yield: 21.841258, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.942182, Create: 0.000002, Yield: 21.942172, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.851991, Create: 0.000003, Yield: 21.851981, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.936707, Create: 0.000002, Yield: 21.936694, Join: 0.000011
ARGOBOTS breakdown Threads: 1, Total: 21.852500, Create: 0.000003, Yield: 21.852489, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.846424, Create: 0.000003, Yield: 21.846412, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.850293, Create: 0.000003, Yield: 21.850282, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.841101, Create: 0.000004, Yield: 21.841090, Join: 0.000007
ARGOBOTS breakdown Threads: 1, Total: 21.859309, Create: 0.000003, Yield: 21.859297, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.841476, Create: 0.000001, Yield: 21.841467, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 21.844235, Create: 0.000002, Yield: 21.844223, Join: 0.000010
ARGOBOTS breakdown Threads: 1, Total: 21.859113, Create: 0.000002, Yield: 21.859099, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.841413, Create: 0.000001, Yield: 21.841400, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.875200, Create: 0.000002, Yield: 21.875189, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 22.020878, Create: 0.000002, Yield: 22.020867, Join: 0.000009
ARGOBOTS breakdown Threads: 1, Total: 21.877577, Create: 0.000002, Yield: 21.877567, Join: 0.000008
ARGOBOTS breakdown Threads: 1, Total: 22.054903, Create: 0.000002, Yield: 22.054888, Join: 0.000012
ARGOBOTS breakdown Threads: 1, Total: 21.857519, Create: 0.000002, Yield: 21.857509, Join: 0.000008
